roi,ROI,Classification,x,Y
41,35,1,311,250
14,13,1,216,451
31,26,,278,332
12,11,1,235,477
13,12,1,390,452
15,14,,77,436
17,16,1,166,412
4,4,,235.8333333,392.5
21,20,,253,394
22,21,1,126,387
20,19,,410,394
25,23,,47,364
24,22,,469,379
9,9,,306.4295775,359.6549296
29,25,,155,340
28,24,1,242,342
32,27,1,381,326
34,29,,177,301
35,30,,262,280
37,32,1,30,268
38,33,1,334,266
39,34,,454,252
43,36,,196,238
44,37,1,375,225
45,38,,205,191
47,39,1,72,161
49,41,,331,136
48,40,1,435,139
50,42,,287,100
52,44,,143,93
2,2,,31,86
51,43,,355,100
54,45,,308,87
56,46,1,446,82
57,47,1,401,78
58,48,,283,53
60,50,1,51,37
